
# ALGORITHM_SETUP
# base_algorithm: sa
# algorithm: sa_exp_20_0.0000002
# algorithm(class): aitoa.algorithms.SimulatedAnnealing
# temperatureSchedule: exp_20_0.0000002
# temperatureSchedule(class): aitoa.algorithms.TemperatureSchedule.Exponential
# startTemperature: 20
# startTemperature(inhex): 0x1.4p4
# epsilon: 2.0E-7
# epsilon(inhex): 0x1.ad7f29abcaf48p-23
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
3272;11103048;69191
3270;11215069;69688
3267;11218245;69702
3266;11253233;69857
3263;11253439;69858
3261;11254288;69861
3257;11254683;69863
3255;11256222;69870
3254;11256626;69872
3249;11256686;69872
3248;11256836;69873
3243;11258419;69880
3242;11260737;69890
3241;11260787;69890
3240;11261255;69892
3238;11855214;72512
3237;11859291;72530
3233;11859524;72531
3229;11862494;72544
3227;11862805;72546
3226;11863218;72547
3225;11864483;72553
3223;11865263;72556
3219;11886847;72651
3218;11950016;72930
3215;11950145;72931
3214;11984396;73082
3212;11991432;73113
3206;12075121;73482
3205;12087520;73537
3204;12088454;73541
3203;12088574;73542
3202;12089359;73545
3196;12091085;73553
3194;12180390;73947
3193;12180666;73948
3192;12319012;74560
3191;12457169;75170
3182;12457208;75170
3177;12459428;75180
3175;12464231;75201
3174;12465739;75208
3170;12475974;75253
3169;12476445;75255
3167;12476517;75255
3166;12476723;75256
3165;13087681;77988
3164;13087967;77989
3163;13098850;78038
3161;13100951;78047
3158;13101202;78048
3155;13101272;78049
3154;13102477;78054
3153;13108403;78081
3151;13176881;78400
3149;13234617;78665
3147;13234700;78666
3146;13235200;78668
3143;13235343;78669
3141;13237169;78677
3140;13254255;78756
3139;13254568;78758
3137;13254827;78759
3135;13256010;78764
3133;13256219;78765
3131;13275811;78853
3130;13277509;78861
3127;13318741;79048
3125;13321831;79062
3123;13360943;79237
3122;13376167;79308
3121;13817046;81300
3120;13818442;81307
3117;13839698;81402
3116;13841742;81411
3114;13841963;81412
3113;13844064;81422
3110;13949970;81895
3109;14022125;82217
3106;14024070;82226
3103;14051540;82347
3102;14052938;82353
3100;14055078;82363
3098;14066810;82414
3097;14067007;82415
3096;14068827;82423
3095;14069256;82425
3094;14100440;82563
3091;14144123;82757
3090;14146371;82768
3087;14147011;82771
3086;14150356;82786
3084;14157725;82819
3081;15222398;87631
3079;15228805;87668
3078;15228940;87669
3077;15230865;87678
3076;15374984;88317
3073;15379716;88338
3071;15387842;88374
3070;15413463;88487
3069;15536779;89034
3068;15544322;89067
3066;15545844;89074
3062;15615111;89379
3061;15616968;89387
