
# ALGORITHM_SETUP
# algorithm: hc
# algorithm(class): aitoa.algorithms.HillClimber
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
new int[]{ 42, 48, 0, 4, 2, 39, 24, 22, 9, 7, 1, 42, 20, 48, 5, 42, 24, 19, 42, 44, 45, 16, 35, 1, 35, 33, 47, 36, 31, 48, 18, 35, 44, 20, 32, 2, 49, 19, 23, 46, 25, 43, 2, 43, 49, 41, 3, 24, 25, 11, 42, 30, 42, 29, 20, 15, 34, 17, 12, 7, 43, 49, 1, 38, 20, 24, 5, 7, 8, 48, 11, 12, 17, 13, 37, 37, 48, 42, 30, 30, 8, 4, 35, 0, 24, 26, 37, 25, 5, 18, 7, 41, 24, 16, 31, 42, 4, 40, 0, 35, 35, 17, 46, 19, 47, 7, 48, 39, 44, 21, 12, 42, 21, 42, 25, 30, 18, 31, 13, 35, 34, 40, 46, 17, 38, 30, 5, 31, 48, 49, 5, 37, 45, 48, 26, 24, 11, 32, 9, 17, 31, 37, 39, 1, 24, 25, 18, 49, 20, 8, 12, 26, 23, 39, 3, 49, 40, 30, 5, 36, 25, 49, 46, 39, 37, 8, 30, 2, 31, 29, 38, 11, 25, 26, 41, 49, 1, 20, 44, 37, 5, 16, 39, 2, 41, 11, 20, 8, 0, 12, 20, 2, 7, 37, 30, 21, 11, 24, 36, 49, 16, 13, 6, 30, 19, 10, 37, 36, 46, 39, 12, 26, 18, 10, 46, 5, 40, 8, 17, 7, 41, 37, 47, 2, 41, 4, 40, 46, 17, 33, 19, 47, 38, 23, 1, 38, 9, 36, 18, 2, 21, 23, 28, 16, 13, 0, 28, 1, 26, 23, 47, 38, 28, 14, 6, 44, 30, 13, 26, 29, 40, 35, 21, 20, 2, 43, 10, 10, 32, 44, 9, 21, 13, 1, 34, 3, 18, 36, 47, 4, 15, 32, 8, 6, 22, 1, 14, 10, 45, 36, 1, 29, 44, 27, 41, 9, 11, 18, 23, 26, 6, 29, 41, 6, 15, 22, 34, 28, 10, 22, 21, 14, 13, 27, 19, 3, 0, 11, 18, 33, 4, 47, 15, 24, 27, 0, 40, 4, 36, 43, 12, 43, 16, 15, 9, 27, 21, 23, 26, 40, 46, 16, 32, 10, 44, 19, 6, 47, 6, 3, 7, 45, 6, 32, 16, 43, 34, 20, 13, 0, 33, 4, 14, 45, 46, 15, 28, 34, 0, 4, 38, 45, 33, 45, 43, 9, 11, 19, 14, 28, 6, 22, 10, 21, 31, 14, 28, 27, 2, 13, 38, 27, 33, 27, 29, 32, 3, 34, 45, 7, 23, 12, 32, 25, 22, 38, 35, 34, 18, 27, 25, 28, 19, 22, 14, 23, 28, 39, 40, 15, 12, 17, 0, 8, 14, 31, 32, 17, 27, 9, 43, 29, 32, 15, 3, 6, 10, 21, 19, 29, 25, 12, 36, 33, 41, 43, 46, 16, 14, 22, 4, 22, 27, 23, 9, 14, 33, 3, 29, 15, 3, 48, 8, 9, 40, 44, 41, 22, 5, 33, 33, 34, 16, 13, 11, 49, 39, 47, 45, 17, 31, 8, 3, 38, 36, 10, 35, 26, 45, 47, 5, 7, 29, 44, 31, 48, 39, 15, 34, 28}
# END_BEST_X
# BEST_Y
new aitoa.examples.jssp.JSSPCandidateSolution(new int[][] {
{ 1, 0, 92, 42, 92, 174, 19, 174, 274, 35, 274, 289, 48, 289, 315, 20, 315, 375, 25, 375, 423, 43, 423, 498, 41, 498, 592, 11, 592, 657, 34, 657, 690, 17, 690, 726, 12, 726, 784, 38, 784, 806, 24, 806, 838, 8, 838, 885, 37, 885, 900, 4, 900, 924, 7, 924, 975, 16, 975, 1031, 0, 1031, 1032, 21, 1032, 1072, 30, 1072, 1094, 18, 1094, 1103, 31, 1103, 1124, 13, 1124, 1182, 40, 1182, 1258, 46, 1258, 1302, 5, 1310, 1325, 32, 1325, 1341, 49, 1341, 1373, 26, 1373, 1443, 39, 1443, 1526, 36, 1526, 1568, 29, 1568, 1597, 44, 1597, 1672, 2, 1678, 1731, 47, 1731, 1735, 9, 1735, 1776, 28, 1776, 1860, 23, 2021, 2099, 14, 2099, 2109, 6, 2109, 2154, 10, 2154, 2189, 15, 2189, 2276, 45, 2276, 2309, 27, 2309, 2404, 22, 2404, 2439, 3, 2439, 2512, 33, 2512, 2554},
{ 2, 0, 44, 7, 44, 74, 42, 74, 84, 20, 84, 165, 48, 165, 258, 44, 258, 300, 33, 300, 391, 31, 391, 453, 35, 453, 477, 32, 477, 520, 23, 520, 556, 49, 556, 603, 3, 603, 663, 25, 663, 748, 1, 748, 824, 12, 824, 884, 24, 884, 924, 37, 924, 944, 5, 944, 976, 41, 976, 1021, 40, 1021, 1085, 46, 1085, 1174, 47, 1174, 1208, 39, 1208, 1290, 30, 1290, 1340, 45, 1340, 1403, 9, 1403, 1471, 17, 1471, 1476, 18, 1476, 1514, 38, 1514, 1591, 11, 1591, 1631, 8, 1631, 1689, 21, 1689, 1730, 13, 1730, 1779, 6, 1779, 1838, 36, 1838, 1895, 26, 1895, 1937, 10, 1937, 2037, 4, 2037, 2039, 19, 2039, 2103, 16, 2103, 2148, 0, 2148, 2225, 28, 2225, 2242, 29, 2242, 2306, 15, 2306, 2393, 43, 2393, 2450, 34, 2450, 2530, 14, 2565, 2642, 22, 2642, 2712, 27, 2712, 2797},
{ 42, 0, 23, 0, 23, 116, 4, 116, 136, 24, 136, 201, 36, 201, 296, 18, 296, 379, 2, 379, 471, 46, 471, 562, 43, 562, 589, 30, 589, 670, 29, 670, 718, 5, 718, 753, 11, 753, 765, 37, 765, 819, 48, 819, 828, 35, 828, 859, 25, 859, 951, 19, 951, 1011, 7, 1011, 1095, 44, 1095, 1130, 17, 1130, 1162, 31, 1162, 1182, 49, 1182, 1280, 26, 1280, 1330, 39, 1330, 1346, 20, 1346, 1414, 8, 1414, 1454, 23, 1454, 1495, 3, 1495, 1514, 40, 1514, 1599, 41, 1599, 1693, 1, 1693, 1763, 12, 1763, 1813, 16, 1813, 1828, 10, 1828, 1856, 33, 1856, 1876, 38, 1876, 1892, 21, 1892, 1902, 13, 1902, 1947, 28, 1947, 1996, 47, 1996, 2012, 32, 2012, 2103, 22, 2103, 2115, 9, 2141, 2161, 6, 2310, 2408, 34, 2408, 2430, 15, 2430, 2448, 27, 2448, 2459, 45, 2459, 2486, 14, 2528, 2565},
{ 39, 0, 68, 9, 68, 101, 5, 101, 142, 24, 201, 228, 42, 228, 321, 35, 321, 368, 47, 368, 410, 44, 410, 451, 49, 451, 470, 19, 470, 499, 2, 499, 595, 20, 595, 657, 7, 657, 682, 48, 682, 763, 17, 763, 826, 13, 826, 890, 30, 890, 923, 8, 923, 941, 26, 941, 1025, 4, 1025, 1066, 34, 1066, 1161, 37, 1161, 1225, 31, 1225, 1233, 1, 1233, 1292, 25, 1292, 1353, 12, 1353, 1384, 11, 1384, 1477, 16, 1477, 1534, 0, 1534, 1611, 46, 1611, 1637, 18, 1637, 1710, 40, 1710, 1781, 41, 1786, 1830, 38, 1830, 1855, 23, 1855, 1882, 36, 1895, 1962, 21, 1962, 2030, 43, 2030, 2039, 3, 2039, 2115, 32, 2115, 2211, 10, 2211, 2237, 6, 2266, 2310, 29, 2310, 2351, 28, 2351, 2420, 22, 2439, 2456, 14, 2456, 2528, 15, 2528, 2532, 27, 2532, 2630, 45, 2630, 2671, 33, 2671, 2758},
{ 48, 0, 34, 22, 34, 64, 45, 64, 136, 16, 136, 208, 1, 208, 288, 24, 288, 362, 42, 362, 452, 15, 452, 545, 7, 545, 596, 43, 596, 693, 49, 693, 706, 20, 706, 754, 30, 754, 779, 0, 779, 819, 18, 819, 848, 31, 848, 873, 35, 873, 914, 17, 914, 993, 12, 993, 1090, 21, 1090, 1170, 25, 1170, 1265, 38, 1265, 1292, 5, 1292, 1310, 11, 1310, 1363, 37, 1363, 1446, 46, 1446, 1537, 39, 1537, 1539, 8, 1539, 1601, 2, 1601, 1678, 26, 1678, 1702, 41, 1702, 1786, 36, 1786, 1791, 19, 1791, 1854, 40, 1854, 1951, 47, 1951, 1985, 23, 1985, 2021, 44, 2021, 2039, 13, 2039, 2048, 29, 2048, 2049, 10, 2049, 2069, 9, 2069, 2141, 34, 2141, 2209, 4, 2209, 2213, 6, 2213, 2266, 14, 2266, 2351, 27, 2404, 2445, 33, 2445, 2489, 32, 2489, 2513, 3, 2513, 2598, 28, 2598, 2653},
{ 24, 924, 1012, 42, 1012, 1034, 30, 1340, 1414, 20, 1442, 1511, 37, 1511, 1600, 5, 1600, 1619, 8, 1689, 1725, 7, 1725, 1770, 46, 1770, 1792, 1, 1792, 1878, 2, 1878, 1962, 26, 1992, 2092, 40, 2092, 2189, 41, 2189, 2219, 18, 2219, 2237, 10, 2237, 2261, 0, 2261, 2277, 11, 2277, 2337, 12, 2337, 2401, 16, 2401, 2441, 6, 2441, 2525, 32, 2525, 2536, 43, 2536, 2586, 13, 2586, 2685, 4, 2685, 2701, 45, 2701, 2753, 19, 2753, 2779, 14, 2779, 2849, 27, 2849, 2913, 29, 2913, 2936, 23, 2936, 2961, 25, 2961, 3019, 35, 3019, 3071, 39, 3071, 3112, 15, 3112, 3179, 31, 3179, 3270, 17, 3270, 3291, 9, 3291, 3313, 21, 3313, 3338, 36, 3338, 3347, 33, 3347, 3385, 3, 3385, 3453, 48, 3453, 3529, 22, 3529, 3566, 34, 3566, 3588, 49, 3588, 3622, 47, 3622, 3689, 38, 3689, 3708, 44, 3708, 3764, 28, 3764, 3792},
