
# ALGORITHM_SETUP
# algorithm: hc
# algorithm(class): aitoa.algorithms.HillClimber
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
new int[]{ 0, 12, 8, 15, 16, 5, 4, 17, 14, 11, 0, 1, 19, 1, 8, 5, 13, 15, 18, 18, 2, 10, 7, 6, 10, 18, 9, 0, 12, 11, 16, 5, 14, 4, 16, 1, 17, 15, 5, 7, 9, 18, 4, 4, 13, 7, 10, 7, 4, 12, 5, 8, 12, 7, 14, 9, 1, 15, 7, 3, 15, 16, 14, 10, 2, 17, 8, 10, 2, 13, 13, 6, 17, 12, 12, 3, 6, 16, 7, 18, 2, 0, 8, 5, 6, 16, 4, 14, 18, 0, 0, 16, 18, 19, 2, 4, 9, 5, 16, 3, 10, 12, 11, 6, 3, 11, 17, 15, 1, 0, 18, 4, 10, 0, 5, 8, 17, 7, 19, 1, 4, 14, 12, 6, 11, 19, 5, 9, 16, 3, 18, 9, 12, 10, 15, 12, 6, 3, 3, 7, 16, 1, 6, 15, 16, 9, 18, 1, 10, 2, 9, 13, 1, 2, 8, 2, 19, 6, 1, 17, 0, 7, 9, 13, 19, 10, 19, 5, 13, 15, 19, 15, 9, 9, 11, 3, 18, 19, 11, 12, 19, 19, 4, 16, 1, 5, 14, 2, 9, 1, 3, 7, 2, 8, 4, 4, 16, 5, 15, 8, 6, 0, 19, 3, 14, 11, 15, 8, 5, 16, 7, 14, 11, 1, 6, 7, 17, 19, 2, 13, 12, 10, 15, 3, 10, 12, 6, 14, 18, 8, 17, 8, 1, 3, 5, 9, 10, 13, 11, 12, 15, 13, 3, 17, 4, 11, 16, 3, 12, 3, 11, 4, 9, 0, 7, 14, 10, 3, 15, 15, 10, 18, 17, 7, 16, 14, 8, 6, 12, 15, 5, 1, 11, 13, 6, 2, 5, 17, 19, 0, 1, 17, 1, 12, 13, 18, 12, 9, 6, 16, 4, 12, 8, 7, 11, 8, 6, 0, 19, 5, 19, 11, 15, 10, 13, 3, 8, 10, 9, 15, 17, 2, 7, 4, 17, 6, 16, 14, 2, 14, 1, 18, 6, 7, 15, 0, 19, 14, 18, 6, 3, 2, 12, 3, 10, 19, 9, 1, 4, 13, 1, 2, 17, 8, 13, 10, 11, 18, 9, 0, 16, 0, 4, 18, 14, 14, 7, 14, 14, 17, 18, 13, 2, 11, 6, 2, 5, 8, 18, 4, 13, 16, 3, 19, 5, 13, 9, 0, 2, 0, 14, 9, 17, 4, 7, 11, 8, 11, 11, 5, 17, 2, 19, 10, 13, 17, 0, 13, 0, 8}
# END_BEST_X
# BEST_Y
new aitoa.examples.jssp.JSSPCandidateSolution(new int[][] {
{ 12, 0, 10, 16, 10, 23, 7, 23, 55, 6, 55, 82, 0, 82, 103, 13, 103, 144, 10, 144, 186, 18, 186, 213, 8, 213, 233, 1, 233, 273, 19, 284, 327, 5, 327, 351, 3, 416, 450, 2, 450, 469, 11, 687, 702, 17, 714, 762, 15, 762, 810, 14, 810, 848, 9, 848, 895, 4, 919, 940},
{ 5, 84, 102, 2, 109, 121, 16, 196, 232, 12, 282, 310, 9, 322, 344, 1, 349, 369, 10, 405, 450, 15, 452, 474, 4, 481, 527, 8, 535, 567, 11, 567, 593, 7, 593, 626, 3, 672, 720, 0, 720, 751, 13, 751, 782, 6, 782, 799, 19, 802, 844, 14, 864, 893, 18, 955, 995, 17, 995, 1033},
{ 15, 187, 224, 12, 233, 282, 11, 298, 326, 13, 398, 441, 8, 488, 535, 3, 585, 633, 10, 633, 646, 6, 646, 667, 18, 667, 685, 1, 685, 704, 14, 704, 739, 19, 739, 767, 5, 774, 798, 9, 798, 817, 4, 817, 864, 17, 864, 896, 16, 896, 908, 2, 908, 952, 7, 952, 967, 0, 1141, 1154},
{ 15, 0, 48, 4, 48, 71, 9, 71, 118, 12, 139, 154, 7, 177, 214, 10, 214, 250, 17, 253, 299, 1, 312, 349, 19, 485, 499, 3, 499, 523, 5, 557, 580, 13, 580, 606, 14, 606, 621, 8, 621, 633, 11, 648, 687, 16, 687, 703, 6, 704, 740, 18, 740, 763, 2, 952, 989, 0, 1024, 1040},
{ 13, 144, 174, 6, 174, 200, 17, 213, 253, 5, 301, 319, 8, 387, 406, 1, 412, 446, 7, 446, 482, 9, 496, 521, 16, 528, 568, 11, 593, 618, 12, 618, 666, 15, 666, 676, 19, 687, 736, 3, 764, 782, 14, 848, 864, 0, 867, 902, 4, 902, 919, 18, 1033, 1046, 2, 1046, 1085, 10, 1085, 1128},
{ 1, 0, 41, 18, 41, 77, 14, 77, 107, 9, 118, 162, 3, 162, 210, 16, 232, 277, 5, 277, 301, 15, 301, 328, 6, 328, 377, 4, 390, 404, 11, 618, 648, 12, 666, 677, 7, 677, 703, 8, 703, 749, 10, 749, 774, 19, 844, 868, 13, 868, 909, 17, 909, 938, 2, 1085, 1111, 0, 1111, 1141},
{ 14, 0, 24, 8, 34, 67, 15, 67, 102, 12, 102, 139, 1, 139, 154, 16, 154, 196, 0, 196, 211, 5, 211, 227, 4, 231, 273, 9, 273, 322, 18, 322, 349, 10, 355, 387, 13, 387, 398, 2, 469, 503, 19, 575, 623, 17, 623, 667, 7, 703, 740, 6, 821, 864, 3, 864, 881, 11, 881, 923},
{ 11, 37, 86, 16, 97, 131, 7, 131, 177, 14, 177, 187, 3, 210, 256, 2, 256, 303, 0, 303, 344, 18, 349, 395, 6, 395, 411, 15, 411, 452, 1, 452, 468, 9, 569, 580, 19, 623, 661, 17, 667, 690, 10, 699, 743, 4, 743, 784, 12, 830, 851, 8, 851, 899, 5, 976, 1021, 13, 1073, 1086},
{ 8, 92, 138, 17, 193, 213, 14, 222, 250, 0, 253, 270, 4, 273, 305, 16, 305, 340, 10, 340, 355, 12, 355, 384, 3, 391, 416, 11, 416, 451, 6, 455, 475, 7, 568, 593, 15, 676, 690, 18, 690, 714, 5, 762, 774, 2, 775, 790, 1, 808, 827, 13, 953, 993, 19, 993, 1037, 9, 1037, 1083},
{ 19, 0, 45, 4, 71, 119, 11, 326, 341, 15, 341, 368, 7, 374, 422, 9, 469, 496, 14, 496, 540, 1, 540, 555, 6, 555, 591, 2, 610, 647, 13, 647, 677, 17, 690, 714, 5, 714, 762, 12, 762, 795, 3, 881, 925, 10, 925, 936, 18, 936, 955, 16, 955, 994, 0, 994, 1024, 8, 1075, 1112},
{ 8, 0, 34, 14, 187, 222, 12, 222, 233, 18, 274, 320, 3, 331, 376, 10, 387, 405, 9, 405, 433, 0, 433, 459, 19, 536, 575, 15, 575, 612, 16, 612, 655, 4, 655, 672, 1, 704, 740, 17, 762, 805, 2, 805, 839, 7, 846, 870, 6, 896, 919, 13, 919, 953, 5, 953, 976, 11, 1052, 1062},
{ 1, 41, 74, 7, 257, 297, 5, 351, 369, 18, 431, 462, 4, 462, 481, 16, 481, 528, 0, 528, 552, 10, 552, 597, 12, 597, 618, 8, 633, 662, 3, 662, 672, 15, 690, 708, 9, 708, 756, 19, 767, 802, 6, 864, 896, 17, 938, 974, 11, 974, 1007, 2, 1011, 1042, 14, 1042, 1072, 13, 1086, 1104},
{ 4, 0, 47, 18, 77, 95, 5, 102, 116, 6, 116, 131, 16, 396, 443, 19, 443, 485, 11, 485, 514, 12, 514, 535, 3, 535, 570, 2, 570, 610, 9, 629, 653, 10, 667, 699, 1, 740, 779, 8, 779, 796, 15, 810, 822, 7, 822, 846, 14, 1025, 1041, 13, 1041, 1073, 0, 1073, 1089, 17, 1089, 1136},
{ 18, 0, 10, 10, 10, 33, 9, 33, 59, 16, 59, 97, 17, 97, 144, 15, 144, 187, 5, 187, 197, 12, 197, 210, 13, 210, 253, 6, 253, 272, 2, 303, 331, 7, 331, 374, 4, 374, 390, 1, 390, 412, 19, 426, 443, 8, 443, 488, 11, 514, 558, 3, 633, 652, 0, 834, 867, 14, 987, 1025},
{ 10, 100, 115, 4, 192, 231, 18, 231, 274, 1, 274, 312, 12, 312, 340, 16, 340, 366, 3, 376, 391, 19, 391, 426, 13, 441, 468, 9, 521, 569, 17, 569, 602, 5, 602, 642, 7, 642, 674, 6, 674, 704, 15, 708, 751, 2, 751, 775, 11, 775, 803, 0, 803, 834, 8, 899, 938, 14, 938, 987},
{ 8, 67, 92, 0, 211, 253, 11, 253, 298, 4, 305, 316, 12, 340, 353, 2, 353, 380, 10, 450, 473, 15, 474, 502, 5, 502, 544, 7, 544, 568, 14, 568, 583, 19, 661, 687, 13, 687, 706, 3, 736, 764, 16, 764, 774, 6, 799, 821, 17, 821, 862, 1, 862, 901, 18, 995, 1033, 9, 1083, 1119},
{ 0, 0, 34, 17, 34, 64, 5, 64, 84, 7, 84, 99, 18, 99, 147, 4, 147, 192, 1, 192, 230, 2, 230, 240, 19, 240, 284, 3, 284, 331, 14, 331, 374, 6, 439, 455, 16, 455, 479, 15, 502, 520, 12, 535, 567, 9, 580, 629, 8, 662, 691, 13, 706, 742, 10, 810, 832, 11, 1007, 1052},
{ 11, 0, 37, 0, 37, 75, 2, 75, 109, 7, 109, 121, 15, 224, 242, 6, 272, 286, 19, 327, 358, 9, 358, 370, 17, 370, 391, 1, 468, 507, 10, 646, 667, 3, 720, 736, 12, 736, 762, 13, 782, 829, 18, 829, 858, 4, 864, 896, 14, 896, 936, 8, 938, 978, 16, 994, 1016, 5, 1021, 1051},
{ 5, 0, 14, 13, 14, 52, 10, 52, 100, 7, 214, 257, 16, 277, 301, 0, 344, 354, 8, 354, 387, 6, 411, 439, 19, 499, 536, 3, 570, 585, 15, 612, 660, 14, 739, 782, 1, 782, 808, 12, 808, 830, 11, 830, 853, 18, 858, 872, 9, 895, 944, 2, 989, 1011, 4, 1011, 1028, 17, 1136, 1148},
{ 17, 144, 193, 16, 366, 396, 18, 396, 431, 9, 433, 469, 14, 469, 481, 2, 503, 536, 5, 544, 557, 4, 557, 567, 0, 751, 776, 10, 776, 810, 15, 822, 871, 12, 871, 920, 1, 920, 954, 6, 954, 971, 3, 971, 1012, 7, 1012, 1034, 8, 1034, 1075, 11, 1075, 1095, 19, 1095, 1133, 13, 1133, 1160}})

if(!(require("plotteR"))){
if(!(require("devtools"))){
install.packages("devtools");
library("devtools");
};
devtools::install_github("thomasWeise/plotteR");
library("plotteR");
};
plot.gantt(list(
 list( list(job=12L,start=0L,end=10L)
,list(job=16L,start=10L,end=23L)
,list(job=7L,start=23L,end=55L)
,list(job=6L,start=55L,end=82L)
,list(job=0L,start=82L,end=103L)
,list(job=13L,start=103L,end=144L)
,list(job=10L,start=144L,end=186L)
,list(job=18L,start=186L,end=213L)
,list(job=8L,start=213L,end=233L)
,list(job=1L,start=233L,end=273L)
,list(job=19L,start=284L,end=327L)
,list(job=5L,start=327L,end=351L)
,list(job=3L,start=416L,end=450L)
,list(job=2L,start=450L,end=469L)
,list(job=11L,start=687L,end=702L)
,list(job=17L,start=714L,end=762L)
,list(job=15L,start=762L,end=810L)
,list(job=14L,start=810L,end=848L)
,list(job=9L,start=848L,end=895L)
,list(job=4L,start=919L,end=940L)
)
,list( list(job=5L,start=84L,end=102L)
,list(job=2L,start=109L,end=121L)
,list(job=16L,start=196L,end=232L)
,list(job=12L,start=282L,end=310L)
,list(job=9L,start=322L,end=344L)
,list(job=1L,start=349L,end=369L)
,list(job=10L,start=405L,end=450L)
,list(job=15L,start=452L,end=474L)
,list(job=4L,start=481L,end=527L)
,list(job=8L,start=535L,end=567L)
,list(job=11L,start=567L,end=593L)
,list(job=7L,start=593L,end=626L)
,list(job=3L,start=672L,end=720L)
,list(job=0L,start=720L,end=751L)
,list(job=13L,start=751L,end=782L)
,list(job=6L,start=782L,end=799L)
,list(job=19L,start=802L,end=844L)
,list(job=14L,start=864L,end=893L)
,list(job=18L,start=955L,end=995L)
,list(job=17L,start=995L,end=1033L)
)
,list( list(job=15L,start=187L,end=224L)
,list(job=12L,start=233L,end=282L)
,list(job=11L,start=298L,end=326L)
,list(job=13L,start=398L,end=441L)
,list(job=8L,start=488L,end=535L)
,list(job=3L,start=585L,end=633L)
,list(job=10L,start=633L,end=646L)
,list(job=6L,start=646L,end=667L)
,list(job=18L,start=667L,end=685L)
,list(job=1L,start=685L,end=704L)
,list(job=14L,start=704L,end=739L)
,list(job=19L,start=739L,end=767L)
,list(job=5L,start=774L,end=798L)
,list(job=9L,start=798L,end=817L)
,list(job=4L,start=817L,end=864L)
,list(job=17L,start=864L,end=896L)
,list(job=16L,start=896L,end=908L)
,list(job=2L,start=908L,end=952L)
,list(job=7L,start=952L,end=967L)
,list(job=0L,start=1141L,end=1154L)
)
,list( list(job=15L,start=0L,end=48L)
,list(job=4L,start=48L,end=71L)
,list(job=9L,start=71L,end=118L)
,list(job=12L,start=139L,end=154L)
,list(job=7L,start=177L,end=214L)
,list(job=10L,start=214L,end=250L)
,list(job=17L,start=253L,end=299L)
,list(job=1L,start=312L,end=349L)
,list(job=19L,start=485L,end=499L)
,list(job=3L,start=499L,end=523L)
,list(job=5L,start=557L,end=580L)
,list(job=13L,start=580L,end=606L)
,list(job=14L,start=606L,end=621L)
,list(job=8L,start=621L,end=633L)
,list(job=11L,start=648L,end=687L)
,list(job=16L,start=687L,end=703L)
,list(job=6L,start=704L,end=740L)
,list(job=18L,start=740L,end=763L)
,list(job=2L,start=952L,end=989L)
,list(job=0L,start=1024L,end=1040L)
)
,list( list(job=13L,start=144L,end=174L)
,list(job=6L,start=174L,end=200L)
,list(job=17L,start=213L,end=253L)
,list(job=5L,start=301L,end=319L)
,list(job=8L,start=387L,end=406L)
,list(job=1L,start=412L,end=446L)
,list(job=7L,start=446L,end=482L)
,list(job=9L,start=496L,end=521L)
,list(job=16L,start=528L,end=568L)
,list(job=11L,start=593L,end=618L)
,list(job=12L,start=618L,end=666L)
,list(job=15L,start=666L,end=676L)
,list(job=19L,start=687L,end=736L)
,list(job=3L,start=764L,end=782L)
,list(job=14L,start=848L,end=864L)
,list(job=0L,start=867L,end=902L)
,list(job=4L,start=902L,end=919L)
,list(job=18L,start=1033L,end=1046L)
,list(job=2L,start=1046L,end=1085L)
,list(job=10L,start=1085L,end=1128L)
)
