
# ALGORITHM_SETUP
# algorithm: hc
# algorithm(class): aitoa.algorithms.HillClimber
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
new int[]{ 10, 11, 17, 18, 13, 18, 7, 15, 8, 4, 0, 2, 12, 5, 16, 7, 11, 2, 1, 17, 16, 19, 0, 6, 17, 6, 1, 7, 15, 16, 14, 10, 5, 13, 7, 9, 18, 7, 4, 10, 8, 14, 19, 11, 2, 12, 15, 5, 18, 4, 11, 1, 0, 9, 14, 2, 1, 13, 17, 6, 4, 12, 4, 0, 6, 16, 7, 17, 8, 2, 9, 3, 18, 7, 5, 18, 13, 10, 4, 17, 0, 7, 19, 11, 13, 18, 7, 1, 3, 3, 11, 12, 17, 17, 5, 8, 1, 4, 2, 8, 12, 5, 5, 15, 4, 9, 16, 14, 19, 17, 16, 3, 14, 18, 17, 7, 12, 8, 14, 19, 7, 13, 15, 18, 9, 10, 17, 16, 0, 14, 16, 1, 1, 12, 5, 0, 19, 15, 18, 2, 0, 3, 0, 18, 11, 8, 5, 11, 14, 10, 1, 16, 17, 3, 11, 17, 11, 0, 10, 14, 10, 2, 6, 3, 16, 8, 13, 19, 4, 18, 15, 12, 19, 9, 12, 13, 15, 7, 19, 1, 10, 13, 1, 19, 4, 8, 2, 11, 5, 7, 17, 11, 19, 18, 3, 6, 12, 14, 2, 8, 16, 10, 18, 5, 13, 0, 6, 9, 11, 3, 15, 9, 9, 10, 13, 18, 4, 9, 6, 1, 0, 6, 14, 6, 19, 7, 16, 0, 1, 16, 5, 8, 7, 3, 13, 15, 17, 1, 13, 3, 0, 15, 3, 2, 9, 3, 12, 4, 6, 15, 9, 12, 8, 9, 10, 2, 2, 11, 8, 14, 16, 13, 10, 5, 19, 14, 3, 14, 15, 14, 15, 6, 12, 4, 11, 4, 6, 12, 12, 3, 8, 15, 10, 1, 16, 5, 0, 6, 8, 2, 19, 19, 6, 9, 10, 4, 2, 9, 13, 5}
# END_BEST_X
# BEST_Y
new aitoa.examples.jssp.JSSPCandidateSolution(new int[][] {
{ 11, 0, 22, 2, 35, 57, 17, 72, 84, 0, 158, 179, 14, 274, 285, 15, 285, 298, 12, 319, 357, 3, 357, 389, 8, 389, 416, 9, 416, 450, 19, 450, 466, 13, 466, 486, 1, 486, 497, 18, 498, 511, 7, 536, 549, 4, 549, 573, 16, 655, 676, 6, 680, 697, 10, 697, 733, 5, 733, 758},
{ 13, 28, 57, 4, 79, 107, 9, 107, 118, 5, 120, 153, 10, 153, 184, 17, 184, 202, 1, 202, 226, 3, 226, 245, 19, 245, 259, 16, 259, 290, 7, 294, 330, 18, 330, 342, 0, 385, 415, 14, 419, 453, 11, 469, 487, 2, 487, 501, 15, 597, 615, 12, 615, 651, 6, 651, 680, 8, 685, 717},
{ 0, 0, 24, 16, 60, 88, 17, 88, 108, 12, 157, 193, 2, 193, 213, 7, 267, 294, 14, 301, 315, 1, 315, 351, 18, 351, 364, 11, 364, 393, 5, 393, 419, 6, 451, 490, 4, 490, 514, 8, 514, 535, 13, 547, 568, 15, 568, 597, 3, 597, 626, 9, 626, 654, 10, 654, 693, 19, 693, 715},
{ 16, 0, 25, 0, 25, 37, 6, 59, 89, 1, 89, 104, 7, 114, 135, 14, 135, 165, 8, 165, 192, 2, 213, 225, 12, 226, 254, 18, 254, 271, 17, 296, 327, 19, 339, 370, 5, 370, 393, 4, 393, 417, 10, 417, 444, 9, 450, 474, 11, 487, 498, 15, 525, 561, 3, 626, 639, 13, 650, 677},
{ 7, 45, 64, 0, 131, 158, 11, 160, 191, 13, 209, 243, 15, 243, 260, 8, 266, 287, 3, 326, 356, 10, 379, 399, 16, 399, 411, 17, 411, 424, 6, 424, 451, 18, 460, 498, 5, 498, 513, 14, 513, 536, 19, 536, 565, 9, 578, 593, 12, 651, 666, 1, 666, 694, 2, 694, 716, 4, 716, 734},
{ 18, 0, 18, 7, 18, 45, 16, 45, 60, 10, 60, 97, 11, 97, 125, 12, 125, 157, 17, 157, 169, 9, 169, 208, 4, 208, 226, 8, 226, 266, 5, 266, 306, 19, 306, 339, 13, 339, 372, 15, 372, 405, 14, 405, 419, 1, 419, 445, 0, 445, 476, 3, 476, 497, 6, 528, 564, 2, 564, 580},
{ 2, 0, 35, 1, 35, 65, 7, 65, 94, 6, 94, 115, 4, 115, 147, 3, 151, 180, 5, 214, 249, 0, 249, 274, 16, 325, 356, 13, 372, 399, 18, 404, 421, 12, 421, 441, 8, 443, 459, 17, 459, 485, 10, 592, 617, 19, 617, 645, 14, 645, 668, 15, 668, 701, 11, 701, 716, 9, 724, 757},
{ 18, 58, 96, 15, 96, 132, 2, 132, 164, 4, 164, 180, 5, 180, 214, 16, 214, 253, 3, 253, 267, 9, 267, 290, 10, 290, 315, 17, 327, 359, 0, 359, 385, 11, 393, 425, 12, 441, 460, 1, 460, 475, 19, 475, 486, 13, 486, 514, 7, 514, 536, 8, 623, 651, 14, 668, 695, 6, 697, 730},
{ 13, 0, 28, 5, 28, 52, 19, 52, 91, 6, 115, 134, 8, 134, 158, 7, 175, 189, 11, 191, 212, 12, 212, 226, 17, 226, 265, 4, 265, 289, 16, 290, 325, 0, 325, 352, 10, 352, 365, 15, 405, 430, 18, 430, 460, 14, 460, 493, 9, 493, 523, 1, 523, 546, 2, 621, 637, 3, 639, 659},
{ 15, 0, 13, 19, 13, 44, 14, 44, 65, 7, 94, 114, 0, 114, 131, 3, 131, 151, 18, 195, 211, 4, 289, 312, 11, 312, 332, 8, 332, 358, 17, 359, 379, 2, 379, 396, 10, 444, 469, 6, 490, 503, 16, 547, 563, 5, 563, 591, 1, 591, 617, 13, 617, 650, 12, 666, 698, 9, 698, 724},
{ 10, 0, 28, 18, 28, 58, 17, 58, 72, 7, 135, 175, 1, 282, 310, 5, 310, 346, 2, 346, 369, 13, 399, 416, 4, 417, 451, 11, 451, 469, 16, 469, 502, 15, 502, 525, 3, 526, 550, 0, 555, 574, 6, 574, 595, 9, 595, 610, 8, 610, 623, 14, 628, 640, 12, 698, 714, 19, 715, 732},
{ 4, 0, 23, 11, 23, 48, 5, 52, 71, 8, 71, 100, 1, 146, 165, 18, 175, 195, 17, 202, 219, 14, 285, 301, 16, 356, 392, 19, 392, 414, 7, 428, 465, 12, 465, 477, 0, 477, 495, 3, 497, 526, 13, 526, 547, 9, 547, 578, 10, 578, 592, 2, 592, 621, 15, 621, 634, 6, 634, 651},
{ 17, 0, 22, 12, 22, 61, 9, 61, 96, 10, 97, 126, 1, 126, 146, 16, 146, 186, 13, 186, 209, 19, 209, 236, 14, 236, 274, 2, 274, 293, 3, 293, 326, 18, 364, 404, 6, 404, 416, 7, 416, 428, 11, 498, 515, 4, 642, 657, 8, 657, 685, 15, 701, 714, 5, 714, 727, 0, 727, 753},
{ 8, 0, 32, 6, 32, 59, 4, 59, 79, 2, 79, 102, 11, 125, 160, 18, 160, 175, 7, 228, 267, 1, 267, 282, 12, 282, 319, 17, 379, 408, 19, 414, 450, 15, 450, 474, 9, 474, 485, 10, 485, 516, 0, 516, 555, 13, 568, 588, 14, 588, 628, 16, 628, 655, 5, 655, 693, 3, 693, 711},
{ 15, 13, 53, 14, 65, 99, 5, 99, 120, 18, 120, 142, 13, 142, 182, 7, 189, 228, 9, 228, 246, 17, 265, 296, 11, 332, 351, 10, 365, 379, 8, 416, 443, 19, 486, 500, 0, 500, 516, 6, 516, 528, 16, 528, 547, 1, 547, 567, 3, 567, 592, 12, 592, 614, 4, 614, 642, 2, 716, 738}})

if(!(require("plotteR"))){
if(!(require("devtools"))){
install.packages("devtools");
library("devtools");
};
devtools::install_github("thomasWeise/plotteR");
library("plotteR");
};
