
# ALGORITHM_SETUP
# algorithm: hc_rs_16384
# algorithm(class): aitoa.algorithms.HillClimberWithRestarts
# failsBeforeRestart: 16384
# failsBeforeRestartStrategy: 16384
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
new int[]{ 15, 1, 14, 2, 5, 26, 7, 37, 45, 47, 5, 44, 30, 5, 34, 9, 40, 27, 48, 0, 6, 9, 19, 27, 35, 4, 38, 13, 46, 15, 19, 20, 44, 41, 5, 39, 45, 0, 7, 4, 14, 21, 16, 1, 19, 36, 49, 36, 47, 18, 47, 37, 21, 14, 43, 7, 31, 14, 7, 38, 9, 28, 8, 15, 4, 35, 34, 14, 14, 37, 11, 44, 29, 18, 24, 37, 19, 27, 14, 49, 38, 5, 27, 36, 2, 36, 15, 49, 2, 32, 45, 47, 43, 10, 30, 15, 21, 31, 44, 15, 35, 7, 19, 21, 9, 37, 8, 6, 0, 2, 7, 43, 47, 47, 5, 49, 47, 45, 37, 10, 28, 17, 47, 36, 44, 19, 21, 16, 1, 38, 5, 2, 41, 45, 17, 16, 1, 8, 35, 39, 12, 36, 28, 6, 10, 19, 15, 2, 7, 45, 37, 4, 49, 17, 30, 15, 14, 34, 8, 40, 18, 9, 26, 38, 39, 46, 35, 49, 28, 44, 1, 4, 20, 21, 22, 42, 11, 37, 6, 3, 30, 11, 2, 49, 20, 40, 17, 18, 23, 38, 19, 5, 7, 23, 20, 36, 37, 45, 10, 47, 24, 39, 40, 3, 22, 17, 28, 27, 37, 14, 39, 46, 31, 31, 49, 38, 13, 14, 2, 18, 16, 49, 6, 1, 3, 17, 36, 39, 47, 40, 9, 24, 32, 8, 48, 46, 38, 20, 16, 30, 33, 1, 11, 18, 21, 19, 28, 31, 25, 27, 8, 44, 35, 28, 33, 17, 41, 27, 40, 32, 3, 43, 11, 0, 1, 18, 45, 48, 43, 5, 2, 28, 29, 44, 40, 39, 46, 4, 7, 23, 33, 31, 18, 22, 30, 0, 40, 18, 44, 20, 16, 11, 2, 46, 33, 26, 30, 24, 8, 35, 3, 15, 42, 31, 11, 13, 34, 29, 8, 20, 41, 11, 46, 0, 20, 43, 19, 4, 45, 17, 10, 28, 3, 48, 33, 13, 24, 0, 25, 21, 30, 33, 23, 8, 42, 6, 11, 32, 41, 43, 39, 10, 12, 48, 4, 18, 0, 42, 32, 20, 48, 10, 22, 24, 6, 32, 22, 43, 26, 12, 26, 13, 27, 28, 12, 0, 32, 21, 3, 36, 23, 25, 48, 3, 33, 25, 22, 4, 15, 34, 48, 16, 24, 23, 26, 25, 17, 6, 29, 32, 10, 31, 22, 41, 23, 43, 25, 29, 9, 26, 24, 4, 9, 12, 39, 1, 11, 41, 35, 34, 29, 22, 24, 49, 39, 12, 41, 46, 9, 29, 44, 43, 23, 32, 26, 42, 26, 13, 12, 42, 22, 3, 16, 34, 27, 30, 42, 25, 32, 5, 29, 10, 1, 16, 42, 35, 31, 21, 46, 24, 3, 6, 13, 48, 12, 6, 41, 33, 8, 33, 13, 30, 34, 42, 16, 12, 33, 22, 35, 41, 25, 26, 40, 0, 42, 40, 34, 12, 36, 25, 27, 45, 10, 29, 23, 17, 46, 13, 9, 23, 38, 13, 7, 38, 31, 25, 48, 20, 29, 34}
# END_BEST_X
# BEST_Y
new aitoa.examples.jssp.JSSPCandidateSolution(new int[][] {
{ 1, 0, 92, 14, 92, 102, 34, 102, 135, 27, 135, 230, 19, 230, 330, 35, 330, 345, 38, 345, 367, 15, 367, 454, 41, 454, 548, 4, 548, 572, 21, 572, 612, 36, 612, 654, 47, 654, 658, 37, 658, 673, 43, 673, 748, 7, 748, 799, 9, 799, 840, 28, 840, 924, 8, 924, 971, 11, 971, 1036, 5, 1036, 1051, 45, 1051, 1084, 44, 1084, 1159, 6, 1159, 1204, 0, 1204, 1205, 17, 1205, 1241, 16, 1241, 1297, 2, 1297, 1350, 12, 1350, 1408, 49, 1408, 1440, 40, 1440, 1516, 18, 1516, 1525, 20, 1525, 1585, 30, 1585, 1607, 10, 1607, 1642, 39, 1642, 1725, 46, 1725, 1769, 31, 1769, 1790, 13, 1790, 1848, 32, 1848, 1864, 25, 1864, 1912, 3, 1912, 1985, 48, 1985, 2011, 29, 2011, 2040, 22, 2040, 2075, 33, 2152, 2194, 26, 2194, 2264, 24, 2264, 2296, 42, 2296, 2378, 23, 2378, 2456},
{ 2, 0, 44, 7, 44, 74, 44, 74, 116, 5, 116, 148, 40, 148, 212, 6, 212, 271, 9, 271, 339, 20, 339, 420, 45, 420, 483, 47, 483, 517, 31, 517, 579, 15, 579, 666, 14, 666, 743, 37, 743, 763, 49, 763, 810, 38, 810, 887, 36, 887, 944, 32, 944, 987, 21, 987, 1028, 35, 1028, 1052, 19, 1052, 1116, 10, 1116, 1216, 1, 1216, 1292, 41, 1292, 1337, 39, 1337, 1419, 28, 1419, 1436, 4, 1436, 1438, 46, 1438, 1527, 3, 1527, 1587, 18, 1587, 1625, 23, 1625, 1661, 17, 1661, 1666, 27, 1666, 1751, 8, 1751, 1809, 48, 1809, 1902, 16, 1902, 1947, 30, 1947, 1997, 33, 1997, 2088, 11, 2088, 2128, 43, 2128, 2185, 0, 2185, 2262, 42, 2262, 2272, 13, 2272, 2321, 24, 2321, 2361, 25, 2361, 2446, 12, 2446, 2506, 22, 2578, 2648, 26, 2648, 2690, 34, 2690, 2770, 29, 2770, 2834},
{ 37, 0, 54, 5, 54, 89, 30, 89, 170, 0, 170, 263, 4, 263, 283, 46, 283, 374, 19, 374, 434, 36, 434, 529, 18, 529, 612, 14, 612, 649, 44, 649, 684, 29, 684, 732, 24, 732, 797, 27, 797, 808, 2, 808, 900, 15, 900, 918, 43, 918, 945, 10, 945, 973, 7, 973, 1057, 21, 1057, 1067, 47, 1067, 1083, 49, 1083, 1181, 45, 1181, 1208, 28, 1208, 1257, 8, 1257, 1297, 35, 1297, 1328, 9, 1328, 1348, 26, 1348, 1398, 38, 1398, 1414, 39, 1419, 1435, 1, 1435, 1505, 42, 1505, 1528, 11, 1528, 1540, 40, 1540, 1625, 17, 1625, 1657, 23, 1661, 1702, 3, 1702, 1721, 22, 1721, 1733, 31, 1790, 1810, 16, 1810, 1825, 6, 1825, 1923, 20, 1923, 1991, 33, 2088, 2108, 41, 2108, 2202, 32, 2202, 2293, 34, 2293, 2315, 13, 2321, 2366, 48, 2366, 2375, 25, 2446, 2538, 12, 2634, 2684},
{ 5, 0, 41, 26, 41, 125, 47, 125, 167, 9, 167, 200, 13, 200, 264, 19, 330, 359, 44, 359, 400, 39, 400, 468, 49, 468, 487, 14, 487, 559, 7, 559, 584, 4, 584, 625, 35, 625, 672, 34, 672, 767, 37, 767, 831, 27, 831, 929, 2, 929, 1025, 15, 1025, 1029, 8, 1029, 1047, 36, 1047, 1114, 21, 1114, 1182, 38, 1182, 1207, 45, 1208, 1249, 17, 1249, 1312, 16, 1312, 1369, 1, 1369, 1428, 30, 1428, 1461, 28, 1461, 1530, 6, 1530, 1574, 20, 1585, 1647, 24, 1647, 1674, 40, 1674, 1745, 18, 1745, 1818, 3, 1818, 1894, 11, 1894, 1987, 31, 1987, 1995, 43, 1995, 2004, 0, 2004, 2081, 46, 2081, 2107, 23, 2107, 2134, 10, 2134, 2160, 48, 2160, 2241, 33, 2241, 2328, 32, 2328, 2424, 41, 2424, 2468, 42, 2468, 2561, 22, 2561, 2578, 12, 2603, 2634, 25, 2707, 2768, 29, 2834, 2875},
{ 15, 0, 93, 45, 93, 165, 48, 165, 199, 27, 230, 271, 5, 271, 289, 0, 289, 329, 7, 329, 380, 14, 380, 465, 16, 465, 537, 1, 537, 617, 21, 617, 697, 38, 697, 724, 18, 724, 753, 19, 753, 816, 36, 816, 821, 49, 821, 834, 47, 834, 868, 30, 868, 893, 31, 893, 918, 9, 918, 990, 37, 990, 1073, 2, 1073, 1150, 43, 1150, 1247, 44, 1247, 1265, 6, 1265, 1318, 10, 1318, 1338, 17, 1338, 1417, 34, 1417, 1485, 8, 1485, 1547, 35, 1547, 1588, 4, 1588, 1592, 22, 1592, 1622, 11, 1622, 1675, 20, 1675, 1723, 28, 1723, 1778, 39, 1778, 1780, 40, 1780, 1877, 24, 1877, 1951, 46, 1951, 2042, 33, 2108, 2152, 3, 2152, 2237, 29, 2237, 2238, 41, 2238, 2322, 23, 2322, 2358, 32, 2424, 2448, 26, 2448, 2472, 12, 2506, 2603, 13, 2603, 2612, 25, 2612, 2707, 42, 2707, 2797},
{ 14, 743, 813, 15, 1107, 1174, 7, 1174, 1219, 45, 1249, 1301, 37, 1301, 1390, 19, 1433, 1459, 5, 1459, 1478, 47, 1478, 1545, 2, 1545, 1629, 1, 1629, 1715, 27, 1751, 1815, 8, 1815, 1851, 40, 1877, 1974, 18, 1974, 1992, 30, 1997, 2071, 20, 2071, 2140, 11, 2169, 2229, 46, 2229, 2251, 0, 2262, 2278, 6, 2278, 2362, 43, 2362, 2412, 39, 2412, 2453, 10, 2453, 2477, 24, 2477, 2565, 32, 2565, 2576, 28, 2576, 2604, 36, 2604, 2613, 3, 2613, 2681, 4, 2681, 2697, 16, 2697, 2737, 17, 2737, 2758, 31, 2758, 2849, 26, 2849, 2949, 9, 2949, 2971, 41, 2971, 3001, 29, 3001, 3024, 49, 3024, 3058, 44, 3058, 3114, 23, 3114, 3139, 12, 3139, 3203, 35, 3203, 3255, 21, 3255, 3280, 48, 3280, 3356, 33, 3356, 3394, 13, 3394, 3493, 42, 3493, 3515, 22, 3515, 3552, 25, 3552, 3610, 34, 3610, 3632, 38, 3671, 3690},
